"filename", "language", "C#", "comment", "blank", "total"
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\ColliderToObstacle.cs", "C#", 19, 0, 3, 22
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\BuildingUI\BuildingDetailUI.cs", "C#", 62, 0, 16, 78
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\BuildingUI\BuildingGrpUI.cs", "C#", 13, 0, 3, 16
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\BuildingUI\BuildingLineUI.cs", "C#", 44, 0, 9, 53
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\BuildingUI\BuildingListUI.cs", "C#", 66, 0, 14, 80
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\BuildingUI\BuildingPanelUI.cs", "C#", 34, 0, 9, 43
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\BuildingUI\BuildingPosUI.cs", "C#", 113, 0, 14, 127
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\BuildingUI\BuildingProcessBarUI.cs", "C#", 42, 0, 10, 52
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\DataLineUI.cs", "C#", 20, 0, 5, 25
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\EconomicDataPanelUI.cs", "C#", 28, 0, 5, 33
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\InfoLine.cs", "C#", 17, 0, 3, 20
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\PolicyUI\PolicyButtonUI.cs", "C#", 12, 0, 3, 15
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\PolicyUI\PolicyLineUI.cs", "C#", 76, 0, 16, 92
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\PolicyUI\PolicyManagerUI.cs", "C#", 143, 0, 26, 169
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\TechTreeUI\TechTreeNodeUI.cs", "C#", 83, 7, 13, 103
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\TechTreeUI\TechTreePanelUI.cs", "C#", 201, 20, 37, 258
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\UnitDispatchMenuUI\DispatchUnitUI.cs", "C#", 15, 0, 4, 19
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\UnitDispatchMenuUI\UnitButtonUI.cs", "C#", 138, 2, 22, 162
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\UnitDispatchMenuUI\UnitDetailUI.cs", "C#", 97, 0, 20, 117
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\UnitDispatchMenuUI\UnitDispatchManagerUI.cs", "C#", 45, 0, 11, 56
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\UnitDispatchMenuUI\WorkerDispatchUI.cs", "C#", 53, 0, 8, 61
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\UnitDispatchMenuUI\WorkerPanelUI.cs", "C#", 37, 0, 8, 45
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\GameUI\UnitUI\UnitStatusBarUI.cs", "C#", 42, 0, 9, 51
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\BattleGameManager.cs", "C#", 43, 1, 8, 52
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buff\BuffBase.cs", "C#", 84, 0, 24, 108
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buff\BuffContainerBase.cs", "C#", 68, 2, 10, 80
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buff\BuffGenerator.cs", "C#", 41, 14, 3, 58
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buff\BuffNumericalValueType.cs", "C#", 31, 7, 8, 46
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buff\BuffTask.cs", "C#", 34, 1, 5, 40
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buff\BuffTimingTask.cs", "C#", 27, 1, 5, 33
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buff\BuffableValue.cs", "C#", 27, 0, 7, 34
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buff\FloatBuffableValue.cs", "C#", 29, 0, 8, 37
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buff\IBuffable.cs", "C#", 8, 0, 0, 8
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buff\IntBuffableValue.cs", "C#", 29, 0, 5, 34
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buff\PlayerBuffBase.cs", "C#", 19, 0, 7, 26
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buff\PlayerBuffContainer.cs", "C#", 28, 1, 4, 33
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buff\UnitBuffBase.cs", "C#", 19, 0, 5, 24
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buff\UnitBuffContainer.cs", "C#", 35, 1, 8, 44
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buildings\Building.cs", "C#", 144, 0, 44, 188
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buildings\BuildingData.cs", "C#", 14, 0, 2, 16
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buildings\BuildingsClass\Depot.cs", "C#", 22, 0, 2, 24
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buildings\BuildingsGroup.cs", "C#", 49, 0, 8, 57
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Buildings\BuildingsManager.cs", "C#", 18, 0, 5, 23
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Civilization\CivilizationBase.cs", "C#", 31, 0, 4, 35
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\Civilization\CivilizationGenerator.cs", "C#", 26, 0, 2, 28
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\FortificationUnit\BuildingUnit\BuildingUnitBase.cs", "C#", 19, 0, 4, 23
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\FortificationUnit\FortificationUnitBase.cs", "C#", 114, 3, 30, 147
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\FortificationUnit\JuMa.cs", "C#", 7, 0, 3, 10
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\FortificationUnit\TowerBase.cs", "C#", 229, 6, 40, 275
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\GameAIUnitPath.cs", "C#", 14, 0, 3, 17
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\GameUnitBase.cs", "C#", 58, 1, 11, 70
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\GameUnitHelper.cs", "C#", 14, 0, 2, 16
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\IDefenable.cs", "C#", 16, 0, 5, 21
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\IProduceable.cs", "C#", 15, 0, 1, 16
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\PlayerHomeUnit.cs", "C#", 44, 0, 9, 53
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\SoldierUnit\CombatUnit\AttackEventHandler.cs", "C#", 4, 0, 0, 4
"g:\ToyEmpires\ToyEmpires\ToyEmpires\Assets\Scripts\Gameplay\GameUnit\SoldierUnit\CombatUnit\IAttackable.cs", "C#", 13, 0, 6, 19
